time,target_x,target_y,target_z,actual_x,actual_y,actual_z,obs_meta
0.001,0.3,0.0,0.4,-7.347690444166003e-17,8.298182218086482e-17,0.985298,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.002,0.3,0.0,0.4,1.1567517744326735e-09,-6.251993604667823e-06,0.9852979969219531,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.003,0.3,0.0,0.4,1.0380149354018005e-08,-1.927798230667698e-05,0.9852979727020722,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.004,0.3,0.0,0.4,6.111434644281696e-08,-3.244945136387541e-05,0.985297880263671,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.005,0.3,0.0,0.4,2.3854440608913694e-07,-3.930331472150709e-05,0.9852976126416352,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.006,0.3,0.0,0.4,6.501737137495788e-07,-4.0924741456328616e-05,0.9852970126046905,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.007,0.3,0.0,0.4,1.4253611509945626e-06,-3.838499397134358e-05,0.985295889406968,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.008,0.3,0.0,0.4,2.712487343125607e-06,-3.270151361532415e-05,0.9852940326938537,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.009000000000000001,0.3,0.0,0.4,4.6745211782837055e-06,-2.490944998121173e-05,0.985291223651063,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
0.010000000000000002,0.3,0.0,0.4,7.486246177559575e-06,-1.6021445778717177e-05,0.9852872415296262,"{'table_obstacle': {'pos': [0.5730958491082649, -0.01286081898256991, 0.12301677170682306], 'size': [0.0897038858336639, 0.07960207475095396, 0.0485813070440347]}, 'pillar_obstacle': {'pos': [0.3891442830360903, 0.2462098857985322, 0.10124561428769738], 'size': [0.0437607195154267, 0.1869411157862663, 0.0]}, 'small_block': {'pos': [0.5568618826275464, -0.30003502013851835, 0.2976542541316725], 'size': [0.051730458932970194, 0.08794216219459566, 0.06654256514354479]}}"
